iter	Passed	Remaining
579	5935	4298
580	5945	4287
581	5956	4277
582	5966	4267
583	5976	4257
584	5986	4246
585	5996	4236
586	6006	4225
587	6015	4215
588	6025	4204
589	6035	4193
590	6045	4183
591	6055	4173
592	6065	4163
593	6076	4153
594	6086	4142
595	6096	4132
596	6107	4122
597	6117	4112
598	6126	4101
599	6137	4091
600	6147	4081
601	6159	4071
602	6169	4061
603	6179	4051
604	6189	4041
605	6200	4031
606	6210	4020
607	6220	4010
608	6230	3999
609	6239	3989
610	6250	3979
611	6261	3969
612	6270	3958
613	6281	3948
614	6291	3938
615	6301	3927
616	6311	3917
617	6322	3907
618	6332	3897
619	6342	3887
620	6352	3877
621	6363	3867
622	6373	3856
623	6383	3846
624	6393	3836
625	6403	3825
626	6413	3815
627	6423	3805
628	6433	3794
629	6443	3784
630	6453	3773
631	6463	3763
632	6473	3753
633	6483	3743
634	6494	3732
635	6503	3722
636	6513	3711
637	6523	3701
638	6533	3691
639	6544	3681
640	6554	3671
641	6565	3661
642	6575	3650
643	6585	3640
644	6596	3630
645	6606	3620
646	6616	3610
647	6627	3599
648	6637	3589
649	6648	3580
650	6658	3569
651	6668	3559
652	6678	3548
653	6688	3538
654	6698	3528
655	6708	3517
656	6718	3507
657	6729	3497
658	6739	3487
659	6749	3476
660	6759	3466
661	6770	3456
662	6780	3446
663	6790	3436
664	6801	3426
665	6811	3415
666	6821	3405
667	6831	3395
668	6842	3385
669	6852	3375
670	6861	3364
671	6872	3354
672	6882	3344
673	6892	3333
674	6902	3323
675	6912	3312
676	6922	3302
677	6932	3292
678	6942	3281
679	6952	3271
680	6962	3261
681	6973	3251
682	6983	3241
683	6993	3230
684	7003	3220
685	7013	3210
686	7023	3199
687	7033	3189
688	7043	3179
689	7053	3169
690	7064	3158
691	7074	3148
692	7084	3138
693	7096	3129
694	7107	3118
695	7118	3109
696	7127	3098
697	7137	3088
698	7149	3078
699	7159	3068
700	7170	3058
701	7180	3048
702	7190	3037
703	7200	3027
704	7210	3017
705	7220	3006
706	7230	2996
707	7240	2986
708	7250	2976
709	7260	2965
710	7270	2955
711	7281	2945
712	7291	2935
713	7302	2925
714	7313	2915
715	7324	2905
716	7335	2895
717	7346	2885
718	7356	2874
719	7366	2864
720	7376	2854
721	7386	2844
722	7397	2834
723	7407	2823
724	7417	2813
725	7428	2803
726	7438	2793
727	7448	2782
728	7457	2772
729	7467	2762
730	7477	2751
731	7487	2741
732	7498	2731
733	7508	2720
734	7518	2710
735	7528	2700
736	7539	2690
737	7549	2680
738	7560	2670
739	7570	2659
740	7580	2649
741	7590	2639
742	7600	2628
743	7610	2618
744	7620	2608
745	7630	2598
746	7641	2587
747	7651	2577
748	7661	2567
749	7671	2557
750	7682	2547
751	7692	2536
752	7701	2526
753	7711	2516
754	7722	2505
755	7732	2495
756	7743	2485
757	7753	2475
758	7763	2465
759	7773	2454
760	7783	2444
761	7794	2434
762	7803	2423
763	7814	2413
764	7824	2403
765	7834	2393
766	7844	2382
767	7853	2372
768	7864	2362
769	7874	2352
770	7884	2341
771	7894	2331
772	7903	2321
773	7914	2311
774	7924	2300
775	7934	2290
776	7945	2280
777	7955	2270
778	7965	2259
779	7976	2249
780	7986	2239
781	7996	2229
782	8006	2218
783	8017	2208
784	8028	2198
785	8038	2188
786	8048	2178
787	8058	2168
788	8069	2157
789	8078	2147
790	8089	2137
791	8100	2127
792	8110	2117
793	8121	2107
794	8131	2096
795	8142	2086
796	8152	2076
797	8162	2066
798	8172	2055
799	8182	2045
800	8193	2035
801	8203	2025
802	8214	2015
803	8224	2005
804	8236	1995
805	8246	1984
806	8256	1974
807	8267	1964
808	8277	1954
809	8287	1943
810	8299	1934
811	8310	1924
812	8320	1913
813	8330	1903
814	8341	1893
815	8351	1883
816	8360	1872
817	8370	1862
818	8380	1852
819	8389	1841
820	8399	1831
821	8409	1821
822	8419	1810
823	8429	1800
824	8439	1790
825	8449	1779
826	8460	1769
827	8470	1759
828	8480	1749
829	8490	1739
830	8500	1728
831	8510	1718
832	8520	1708
833	8530	1697
834	8541	1687
835	8551	1677
836	8562	1667
837	8572	1657
838	8582	1647
839	8593	1636
840	8603	1626
841	8614	1616
842	8624	1606
843	8634	1596
844	8645	1585
845	8655	1575
846	8666	1565
847	8676	1555
848	8687	1545
849	8697	1534
850	8708	1524
851	8718	1514
852	8729	1504
853	8739	1494
854	8750	1483
855	8760	1473
856	8770	1463
857	8780	1453
858	8791	1443
859	8801	1432
860	8812	1422
861	8822	1412
862	8833	1402
863	8843	1392
864	8854	1381
865	8863	1371
866	8874	1361
867	8884	1351
868	8894	1340
869	8904	1330
870	8914	1320
871	8924	1310
872	8936	1299
873	8946	1289
874	8956	1279
875	8966	1269
876	8977	1259
877	8987	1248
878	8998	1238
879	9008	1228
880	9019	1218
881	9029	1208
882	9040	1197
883	9050	1187
884	9060	1177
885	9070	1167
886	9081	1156
887	9091	1146
888	9101	1136
889	9111	1126
890	9122	1115
891	9132	1105
892	9142	1095
893	9152	1085
894	9162	1074
895	9172	1064
896	9182	1054
897	9192	1044
898	9201	1033
899	9212	1023
900	9222	1013
901	9232	1003
902	9242	992
903	9252	982
904	9262	972
905	9273	962
906	9283	951
907	9295	941
908	9305	931
909	9315	921
910	9326	911
911	9337	900
912	9346	890
913	9357	880
914	9367	870
915	9377	859
916	9387	849
917	9397	839
918	9407	829
919	9417	818
920	9426	808
921	9437	798
922	9446	788
923	9457	777
924	9467	767
925	9478	757
926	9488	747
927	9498	736
928	9507	726
929	9517	716
930	9528	706
931	9538	695
932	9549	685
933	9558	675
934	9568	665
935	9578	654
936	9588	644
937	9598	634
938	9609	624
939	9619	614
940	9630	603
941	9639	593
942	9650	583
943	9661	573
944	9671	562
945	9681	552
946	9691	542
947	9701	532
948	9711	521
949	9722	511
950	9732	501
951	9742	491
952	9753	481
953	9763	470
954	9773	460
955	9784	450
956	9794	440
957	9804	429
958	9814	419
959	9824	409
960	9834	399
961	9845	388
962	9855	378
963	9865	368
964	9875	358
965	9885	347
966	9895	337
967	9905	327
968	9915	317
969	9926	307
970	9935	296
971	9946	286
972	9956	276
973	9967	266
974	9977	255
975	9987	245
976	9997	235
977	10008	225
978	10018	214
979	10028	204
980	10038	194
981	10048	184
982	10058	173
983	10069	163
984	10079	153
985	10089	143
986	10099	133
987	10109	122
988	10120	112
989	10130	102
990	10141	92
991	10150	81
992	10161	71
993	10171	61
994	10181	51
995	10191	40
996	10200	30
997	10210	20
998	10220	10
999	10231	0
